bid_id,user_id,product_id,bid_date,price,bid_price,bid_status
1,19,1,2022-04-26,175000000,170000000,sent
2,20,1,2022-06-14,175000000,180000000,sent
3,4,1,2022-05-17,175000000,178000000,sent
4,4,2,2022-01-19,215000000,200000000,sent
5,1,2,2022-02-13,215000000,230000000,sent
6,11,3,2022-06-19,162000000,145000000,sent
7,15,3,2022-03-13,162000000,170000000,sent
8,23,4,2022-03-07,220000000,210000000,sent
9,22,4,2022-04-15,220000000,225000000,sent
10,9,4,2022-01-26,220000000,240000000,sent
11,22,5,2022-03-19,124000000,120000000,sent
12,20,5,2022-05-30,124000000,110000000,sent
13,7,6,2022-01-16,114000000,110000000,sent
14,3,6,2022-04-26,114000000,120000000,sent
15,20,7,2022-02-15,97000000,90000000,sent
16,25,7,2022-03-19,97000000,100000000,sent
17,18,8,2022-05-24,110000000,120000000,sent
18,25,9,2022-05-25,155500000,145500000,sent
19,7,10,2022-05-27,115500000,125500000,sent
20,22,10,2022-04-07,115500000,135500000,sent
21,17,11,2022-06-22,130000000,125000000,sent
22,23,11,2022-05-22,130000000,120000000,sent
23,10,12,2022-01-18,137000000,139000000,sent
24,1,12,2022-05-06,137000000,147000000,sent
25,25,13,2022-05-18,115500000,114500000,sent
26,23,14,2022-04-22,104000000,100000000,sent
27,20,14,2022-04-15,104000000,95000000,sent
28,25,15,2022-03-09,107000000,109000000,sent
29,24,15,2022-03-19,107000000,117000000,sent
30,2,15,2022-02-18,107000000,104000000,sent
31,17,16,2022-02-11,83000000,80000000,sent
32,25,17,2022-05-09,120000000,125000000,sent
33,14,17,2022-01-30,120000000,130000000,sent
34,18,18,2022-04-16,96000000,94000000,sent
35,18,18,2022-06-06,96000000,92000000,sent
36,5,18,2022-03-30,96000000,90000000,sent
37,12,19,2022-02-16,115000000,119000000,sent
38,22,20,2022-05-18,113000000,110000000,sent
39,4,21,2022-04-28,190000000,195000000,sent
40,19,21,2022-05-13,190000000,200000000,sent
41,3,22,2022-06-27,223000000,225000000,sent
42,6,22,2022-04-10,223000000,230000000,sent
43,9,23,2022-04-25,189900000,188700000,sent
44,5,23,2022-01-27,189900000,190000000,sent
45,11,24,2022-05-18,166000000,168000000,sent
46,25,24,2022-05-18,166000000,170000000,sent
47,8,24,2022-05-28,166000000,173000000,sent
48,25,25,2022-05-17,201000000,202000000,sent
49,21,25,2022-05-15,201000000,204000000,sent
50,20,26,2022-01-22,170000000,160000000,sent
51,21,27,2022-03-29,220500000,225500000,sent
52,4,27,2022-05-18,220500000,227500000,sent
53,11,28,2022-06-27,135000000,130000000,sent
54,6,29,2022-01-18,100000000,101000000,sent
55,16,29,2022-01-17,100000000,102000000,sent
56,9,30,2022-03-18,159000000,160000000,sent
57,1,31,2022-04-21,236000000,238000000,sent
58,11,31,2022-01-17,236000000,240000000,sent
59,20,32,2022-03-21,250000000,253000000,sent
60,13,33,2022-04-09,216000000,210000000,sent
61,22,33,2022-06-14,216000000,208000000,sent
62,9,34,2022-01-27,192000000,190000000,sent
63,16,35,2022-04-15,178000000,170000000,sent
64,16,35,2022-04-05,178000000,165000000,sent
65,5,36,2022-03-29,415000000,417000000,sent
66,24,36,2022-03-04,415000000,419000000,sent
67,16,37,2022-06-11,345000000,347000000,sent
68,12,37,2022-05-05,345000000,349000000,sent
69,25,38,2022-06-11,116000000,118000000,sent
70,6,38,2022-06-04,116000000,110000000,sent
71,24,39,2022-04-18,269000000,270000000,sent
72,16,40,2022-05-30,398500000,399500000,sent
73,17,40,2022-02-28,398500000,397000000,sent
74,8,41,2022-01-25,350000000,355000000,sent
75,10,41,2022-02-01,350000000,357000000,sent
76,14,42,2022-03-03,165000000,164000000,sent
77,13,43,2022-02-28,186000000,190000000,sent
78,20,43,2022-06-03,186000000,192000000,sent
79,10,44,2022-04-04,179000000,180000000,sent
80,21,44,2022-02-27,179000000,181000000,sent
81,13,45,2022-04-19,397500000,395500000,sent
82,19,46,2022-05-23,125000000,124000000,sent
83,25,46,2022-04-08,125000000,127000000,sent
84,21,46,2022-02-19,125000000,130000000,sent
85,3,47,2022-05-16,178000000,180000000,sent
86,24,48,2022-03-10,168000000,170000000,sent
87,13,48,2022-03-05,168000000,171000000,sent
88,19,49,2022-06-25,100000000,101000000,sent
89,3,50,2022-05-25,167000000,170000000,sent
