kota_id,nama_kota,kordinat
3171,Kota Jakarta Pusat,"(-6.186486, 106.834091)"
3172,Kota Jakarta Utara,"(-6.121435, 106.774124)"
3173,Kota Jakarta Barat,"(-6.1352, 106.813301)"
3174,Kota Jakarta Selatan,"(-6.300641, 106.814095)"
3175,Kota Jakarta Timur,"(-6.264451, 106.895859)"
3573,Kota Malang,"(-7.981894, 112.626503)"
3578,Kota Surabaya,"(-7.289166, 112.734398)"
3471,Kota Yogyakarta,"(-7.797224, 110.368797)"
3273,Kota Bandung,"(-6.9147444, 107.6098111)"
1371,Kota Padang,"(-0.95, 100.3530556)"
1375,Kota Bukittinggi,"(-0.3055556, 100.3691667)"
